salary,employment_type,region,tenure_years,enrolled,hist_enrollment_rate_region,avg_premium_cost_usd,benefits_broker_rating,hr_outreach_capacity,open_enrollment_window_days,state_mandate_level,has_application_date,days_contact_to_app,contact_after_app,no_prior_record,prior_year_enrolled_clean,last_contact_channel_clean,plan_tier_requested_clean,broker_channel_clean,has_dependents_bin,tenure_inconsistent
102082.57,Full-time,West,6.8,1,0.613,574,4.7,437,28,Low,1,-165.0,1,1,0,Email,Premium,Employer-Sponsored,1,0
60859.4,Full-time,Midwest,13.8,1,0.617,595,4.4,469,18,High,1,25.0,0,0,1,Unknown,Standard,Direct,1,0
48430.93,Full-time,Midwest,0.2,0,0.617,595,4.4,469,18,High,1,17.0,0,1,0,Phone,Bronze,Employer-Sponsored,1,0
54264.69,Part-time,South,1.8,0,0.628,481,3.3,324,17,Medium,1,7.0,0,0,1,Unknown,Basic,Third-Party,0,0
65305.54,Full-time,Midwest,0.3,1,0.617,595,4.4,469,18,High,1,14.0,0,1,0,Phone,Silver,Employer-Sponsored,0,0
88447.97,Part-time,Midwest,4.0,0,0.617,595,4.4,469,18,High,1,17.0,0,0,0,Email,Premium,Third-Party,1,0
77709.7,Full-time,Midwest,1.5,1,0.617,595,4.4,469,18,High,1,13.0,0,0,1,Email,Silver,Third-Party,0,0
33368.65,Part-time,South,0.9,0,0.628,481,3.3,324,17,Medium,0,,0,1,0,Email,Basic,Direct,1,0
43473.65,Full-time,Northeast,6.0,1,0.612,455,3.1,151,38,Low,1,13.0,0,0,1,SMS,Basic,Third-Party,1,0
43090.08,Full-time,Northeast,2.3,0,0.612,455,3.1,151,38,Low,1,27.0,0,0,1,SMS,Unknown,Third-Party,0,0
51761.6,Full-time,South,8.0,0,0.628,481,3.3,324,17,Medium,1,21.0,0,0,1,Email,Basic,Employer-Sponsored,0,0
73218.54,Contract,South,5.9,1,0.628,481,3.3,324,17,Medium,0,,0,0,0,Email,Standard,Employer-Sponsored,1,0
68975.12,Full-time,South,0.2,1,0.628,481,3.3,324,17,Medium,1,16.0,0,1,0,Email,Standard,Third-Party,1,0
69015.71,Full-time,Midwest,4.7,1,0.617,595,4.4,469,18,High,1,117.0,0,0,1,Email,Standard,Third-Party,1,1
61969.75,Contract,Northeast,0.1,0,0.612,455,3.1,151,38,Low,1,194.0,0,1,0,Phone,Standard,Third-Party,1,0
34301.71,Part-time,Midwest,4.0,0,0.617,595,4.4,469,18,High,1,19.0,0,0,0,Phone,Basic,Third-Party,0,0
18396.11,Full-time,Midwest,0.2,1,0.617,595,4.4,469,18,High,0,,0,1,0,Phone,Bronze,Employer-Sponsored,1,0
79249.78,Full-time,Northeast,0.2,1,0.612,455,3.1,151,38,Low,1,9.0,0,1,0,Email,Standard,Third-Party,1,0
75834.59,Full-time,South,1.3,1,0.628,481,3.3,324,17,Medium,1,16.0,0,0,1,SMS,Standard,Direct,0,0
50391.74,Full-time,Northeast,2.7,1,0.612,455,3.1,151,38,Low,1,11.0,0,0,1,Email,Basic,Direct,1,0
79538.34,Full-time,South,3.7,1,0.628,481,3.3,324,17,Medium,1,20.0,0,0,1,Unknown,Standard,Third-Party,1,0
59814.14,Contract,West,0.1,0,0.613,574,4.7,437,28,Low,1,5.0,0,1,0,Phone,Standard,Third-Party,0,0
58439.95,Full-time,Northeast,6.0,0,0.612,455,3.1,151,38,Low,1,2.0,0,1,0,Email,Silver,Direct,0,0
65806.78,Full-time,West,3.1,1,0.613,574,4.7,437,28,Low,1,1.0,0,0,1,Email,Standard,Direct,0,0
87937.63,Part-time,Midwest,1.4,1,0.617,595,4.4,469,18,High,1,21.0,0,0,1,Phone,Premium,Employer-Sponsored,1,0
39500.27,Full-time,Northeast,3.8,1,0.612,455,3.1,151,38,Low,0,,0,0,1,Email,Bronze,Direct,1,0
67046.45,Contract,Midwest,0.4,0,0.617,595,4.4,469,18,High,1,28.0,0,1,0,Email,Standard,Third-Party,1,0
102915.78,Part-time,Midwest,4.0,1,0.617,595,4.4,469,18,High,1,24.0,0,0,1,Email,Gold,Third-Party,1,0
67754.96,Full-time,West,3.4,1,0.613,574,4.7,437,28,Low,1,24.0,0,1,0,Email,Standard,Direct,1,0
48054.7,Full-time,South,8.7,0,0.628,481,3.3,324,17,Medium,1,21.0,0,1,0,Email,Basic,Employer-Sponsored,1,1
55109.1,Part-time,Midwest,0.1,0,0.617,595,4.4,469,18,High,1,-190.0,1,1,0,SMS,Silver,Third-Party,1,0
64119.63,Full-time,South,1.9,1,0.628,481,3.3,324,17,Medium,1,-186.0,1,0,1,Email,Standard,Third-Party,1,0
75899.29,Part-time,Midwest,3.7,0,0.617,595,4.4,469,18,High,1,16.0,0,0,0,Phone,Standard,Employer-Sponsored,0,0
64447.2,Full-time,Midwest,2.1,1,0.617,595,4.4,469,18,High,1,20.0,0,0,1,Phone,Standard,Third-Party,1,0
54534.33,Full-time,South,1.7,1,0.628,481,3.3,324,17,Medium,1,119.0,0,0,1,Unknown,Unknown,Third-Party,1,0
45941.61,Full-time,Midwest,2.0,1,0.617,595,4.4,469,18,High,0,,0,0,0,Email,Basic,Direct,1,0
78402.45,Full-time,West,0.7,1,0.613,574,4.7,437,28,Low,1,24.0,0,1,0,SMS,Silver,Third-Party,1,0
74367.93,Part-time,West,0.8,1,0.613,574,4.7,437,28,Low,1,93.0,0,1,0,Email,Standard,Employer-Sponsored,1,0
33763.99,Full-time,Midwest,6.3,1,0.617,595,4.4,469,18,High,0,,0,0,1,Email,Basic,Direct,1,0
60647.37,Full-time,South,2.6,1,0.628,481,3.3,324,17,Medium,1,1.0,0,1,0,Email,Standard,Direct,0,0
69161.7,Full-time,Northeast,2.4,1,0.612,455,3.1,151,38,Low,1,6.0,0,0,1,Email,Standard,Direct,1,0
63504.66,Full-time,Northeast,4.2,1,0.612,455,3.1,151,38,Low,1,205.0,0,1,0,Email,Silver,Direct,1,0
64600.82,Full-time,Northeast,0.4,1,0.612,455,3.1,151,38,Low,1,-199.0,1,1,0,Unknown,Standard,Direct,0,0
86321.57,Full-time,South,9.5,1,0.628,481,3.3,324,17,Medium,1,27.0,0,0,1,Email,Gold,Employer-Sponsored,0,0
51421.58,Full-time,West,4.7,1,0.613,574,4.7,437,28,Low,1,21.0,0,0,1,SMS,Bronze,Third-Party,1,0
60982.79,Full-time,Northeast,3.0,1,0.612,455,3.1,151,38,Low,1,14.0,0,0,1,Phone,Standard,Direct,1,0
98173.03,Full-time,South,1.6,0,0.628,481,3.3,324,17,Medium,1,7.0,0,0,0,SMS,Gold,Employer-Sponsored,0,0
77353.27,Full-time,South,7.7,1,0.628,481,3.3,324,17,Medium,1,37.0,0,0,1,Email,Standard,Employer-Sponsored,1,0
51159.21,Contract,Midwest,1.8,0,0.617,595,4.4,469,18,High,1,11.0,0,0,1,Email,Basic,Employer-Sponsored,0,0
73694.11,Full-time,South,2.3,1,0.628,481,3.3,324,17,Medium,1,-65.0,1,0,1,Email,Silver,Direct,0,0
69629.02,Full-time,West,5.5,1,0.613,574,4.7,437,28,Low,1,20.0,0,0,1,Unknown,Standard,Employer-Sponsored,1,0
57982.32,Contract,Midwest,5.8,0,0.617,595,4.4,469,18,High,1,11.0,0,0,0,Phone,Standard,Direct,1,0
117588.07,Full-time,Northeast,0.1,1,0.612,455,3.1,151,38,Low,1,20.0,0,1,0,Email,Premium,Third-Party,1,0
53633.55,Contract,Northeast,2.6,0,0.612,455,3.1,151,38,Low,0,,0,0,1,Email,Basic,Third-Party,1,0
76911.37,Contract,West,5.7,1,0.613,574,4.7,437,28,Low,1,19.0,0,0,1,Email,Standard,Third-Party,1,0
89202.73,Full-time,Northeast,3.6,1,0.612,455,3.1,151,38,Low,1,18.0,0,0,1,Email,Gold,Third-Party,0,0
84520.85,Full-time,South,8.1,1,0.628,481,3.3,324,17,Medium,1,24.0,0,0,1,Email,Standard,Third-Party,0,0
76386.31,Contract,South,0.7,1,0.628,481,3.3,324,17,Medium,1,9.0,0,1,0,Email,Silver,Third-Party,1,0
76220.61,Full-time,South,1.2,1,0.628,481,3.3,324,17,Medium,1,-142.0,1,0,1,Email,Silver,Third-Party,0,0
68292.73,Full-time,Midwest,7.2,0,0.617,595,4.4,469,18,High,1,24.0,0,0,0,Unknown,Standard,Direct,0,0
77100.05,Full-time,Northeast,13.3,1,0.612,455,3.1,151,38,Low,1,-195.0,1,0,1,Email,Standard,Direct,0,0
69502.37,Full-time,West,1.3,1,0.613,574,4.7,437,28,Low,1,19.0,0,0,0,Email,Standard,Unknown,0,0
78118.2,Full-time,Northeast,4.4,1,0.612,455,3.1,151,38,Low,1,3.0,0,0,1,Email,Silver,Direct,0,0
49390.08,Full-time,Midwest,0.0,1,0.617,595,4.4,469,18,High,1,242.0,0,1,0,Email,Basic,Third-Party,1,0
85511.44,Full-time,South,11.2,1,0.628,481,3.3,324,17,Medium,1,13.0,0,0,0,Email,Premium,Third-Party,0,0
70423.44,Full-time,Northeast,2.4,1,0.612,455,3.1,151,38,Low,1,-176.0,1,0,1,Email,Standard,Employer-Sponsored,1,0
88891.64,Full-time,Northeast,7.9,1,0.612,455,3.1,151,38,Low,1,13.0,0,0,1,Phone,Premium,Employer-Sponsored,1,0
97387.37,Part-time,West,4.7,1,0.613,574,4.7,437,28,Low,1,2.0,0,0,1,SMS,Premium,Direct,1,0
69387.49,Part-time,Midwest,4.6,1,0.617,595,4.4,469,18,High,1,17.0,0,0,1,Unknown,Standard,Direct,1,0
50674.57,Contract,Northeast,1.3,0,0.612,455,3.1,151,38,Low,0,,0,0,0,Email,Bronze,Direct,1,0
76654.93,Part-time,Midwest,8.1,1,0.617,595,4.4,469,18,High,1,26.0,0,0,1,SMS,Silver,Direct,1,0
51550.54,Full-time,West,3.0,0,0.613,574,4.7,437,28,Low,1,2.0,0,1,0,Phone,Bronze,Third-Party,0,0
56788.99,Part-time,Northeast,4.7,0,0.612,455,3.1,151,38,Low,0,,0,0,0,Phone,Silver,Third-Party,1,0
80352.61,Part-time,Northeast,0.7,1,0.612,455,3.1,151,38,Low,1,-76.0,1,1,0,Email,Standard,Employer-Sponsored,1,0
84371.36,Full-time,West,0.5,1,0.613,574,4.7,437,28,Low,0,,0,1,0,SMS,Standard,Employer-Sponsored,0,0
54921.09,Full-time,West,5.6,0,0.613,574,4.7,437,28,Low,1,12.0,0,0,0,Phone,Basic,Direct,0,0
62398.07,Part-time,Midwest,10.0,1,0.617,595,4.4,469,18,High,1,12.0,0,0,1,Phone,Silver,Third-Party,1,0
78628.47,Full-time,West,1.9,1,0.613,574,4.7,437,28,Low,1,12.0,0,0,1,Unknown,Standard,Employer-Sponsored,0,0
47525.67,Full-time,Northeast,6.9,1,0.612,455,3.1,151,38,Low,1,19.0,0,0,0,Phone,Basic,Employer-Sponsored,1,0
59320.06,Contract,South,2.4,0,0.628,481,3.3,324,17,Medium,1,13.0,0,0,1,Email,Silver,Employer-Sponsored,1,0
87928.4,Part-time,South,2.0,0,0.628,481,3.3,324,17,Medium,1,6.0,0,0,0,Email,Premium,Third-Party,0,0
70292.4,Full-time,South,6.5,1,0.628,481,3.3,324,17,Medium,1,18.0,0,1,0,Email,Standard,Unknown,1,0
54682.65,Contract,Midwest,0.6,0,0.617,595,4.4,469,18,High,1,25.0,0,1,0,SMS,Basic,Employer-Sponsored,0,0
70998.1,Full-time,West,4.9,1,0.613,574,4.7,437,28,Low,1,-260.0,1,1,0,Email,Standard,Employer-Sponsored,1,0
46733.12,Full-time,Midwest,4.7,0,0.617,595,4.4,469,18,High,1,17.0,0,0,0,Phone,Basic,Third-Party,0,0
43807.85,Part-time,West,0.3,0,0.613,574,4.7,437,28,Low,1,10.0,0,1,0,SMS,Basic,Employer-Sponsored,0,0
78132.89,Full-time,Northeast,3.2,1,0.612,455,3.1,151,38,Low,1,21.0,0,0,1,Email,Silver,Employer-Sponsored,1,0
68587.87,Full-time,Northeast,6.4,1,0.612,455,3.1,151,38,Low,1,9.0,0,0,1,Unknown,Standard,Employer-Sponsored,0,0
64369.34,Full-time,Midwest,5.0,1,0.617,595,4.4,469,18,High,1,-106.0,1,0,1,SMS,Silver,Direct,1,0
59002.94,Full-time,West,0.5,0,0.613,574,4.7,437,28,Low,1,24.0,0,1,0,SMS,Standard,Employer-Sponsored,1,0
61482.66,Full-time,Northeast,2.0,1,0.612,455,3.1,151,38,Low,1,-87.0,1,0,1,Phone,Silver,Direct,0,0
66244.49,Full-time,South,10.4,1,0.628,481,3.3,324,17,Medium,1,28.0,0,0,1,Email,Standard,Direct,1,0
67355.37,Part-time,Midwest,5.0,0,0.617,595,4.4,469,18,High,1,14.0,0,1,0,Phone,Standard,Third-Party,1,0
60198.02,Full-time,Northeast,4.2,1,0.612,455,3.1,151,38,Low,1,18.0,0,0,1,SMS,Standard,Third-Party,0,0
60186.57,Full-time,Northeast,2.4,1,0.612,455,3.1,151,38,Low,1,21.0,0,0,0,Unknown,Silver,Third-Party,1,0
35468.91,Full-time,Midwest,2.3,0,0.617,595,4.4,469,18,High,0,,0,0,1,Email,Unknown,Employer-Sponsored,0,0
95678.88,Contract,Northeast,4.5,1,0.612,455,3.1,151,38,Low,1,39.0,0,0,1,Phone,Gold,Direct,1,0
68676.95,Full-time,Northeast,8.6,1,0.612,455,3.1,151,38,Low,1,-233.0,1,0,1,Unknown,Standard,Third-Party,1,0
81327.39,Full-time,Northeast,0.2,1,0.612,455,3.1,151,38,Low,1,264.0,0,1,0,Unknown,Silver,Unknown,0,0
75014.6,Part-time,Northeast,3.4,0,0.612,455,3.1,151,38,Low,1,12.0,0,0,0,Phone,Silver,Third-Party,0,0
51316.85,Full-time,Midwest,0.2,0,0.617,595,4.4,469,18,High,1,4.0,0,1,0,SMS,Basic,Employer-Sponsored,0,0
71216.95,Full-time,West,7.2,1,0.613,574,4.7,437,28,Low,1,7.0,0,1,0,Email,Standard,Third-Party,1,0
54615.31,Full-time,West,10.2,1,0.613,574,4.7,437,28,Low,1,22.0,0,1,0,Phone,Basic,Third-Party,1,0
68964.65,Full-time,Northeast,5.4,1,0.612,455,3.1,151,38,Low,1,-105.0,1,0,1,Email,Silver,Employer-Sponsored,0,0
61564.75,Full-time,West,10.1,1,0.613,574,4.7,437,28,Low,0,,0,0,0,Unknown,Standard,Third-Party,1,0
34537.13,Full-time,South,4.7,1,0.628,481,3.3,324,17,Medium,1,7.0,0,0,1,Email,Bronze,Direct,1,0
77943.44,Contract,Northeast,1.5,1,0.612,455,3.1,151,38,Low,1,5.0,0,0,0,Unknown,Silver,Third-Party,1,0
60968.65,Full-time,South,1.1,1,0.628,481,3.3,324,17,Medium,1,5.0,0,1,0,Unknown,Standard,Third-Party,1,0
78407.58,Full-time,Midwest,1.7,1,0.617,595,4.4,469,18,High,1,20.0,0,0,1,Phone,Silver,Direct,1,0
59873.25,Full-time,Midwest,0.7,1,0.617,595,4.4,469,18,High,1,15.0,0,1,0,Unknown,Standard,Direct,1,0
90843.49,Full-time,Northeast,0.1,1,0.612,455,3.1,151,38,Low,1,174.0,0,1,0,SMS,Premium,Direct,0,0
77125.51,Full-time,West,3.5,1,0.613,574,4.7,437,28,Low,1,3.0,0,0,1,SMS,Standard,Third-Party,1,0
